"sales_key","date_key","customer_key","movie_key","store_key","sales_amount"
14754,20070217,381,730,2,1.99
14755,20070218,381,59,1,2.99
14756,20070218,381,604,2,4.99
14757,20070221,381,993,1,2.99
14758,20070218,382,160,1,0.99
14759,20070218,382,398,2,4.99
14760,20070218,382,873,2,1.99
14761,20070218,382,561,1,2.99
14762,20070220,382,725,1,4.99
14763,20070216,383,572,2,7.99
14764,20070218,383,109,2,2.99
14765,20070218,383,433,1,2.99
14766,20070218,383,505,2,2.99
14767,20070219,383,487,2,7.99
14768,20070220,383,188,1,2.99
14769,20070217,384,625,1,0.99
14770,20070217,384,416,2,0.99
14771,20070218,384,614,1,7.99
14772,20070218,384,838,2,5.99
14773,20070220,384,600,1,3.99
14774,20070220,384,670,1,9.99
14775,20070220,384,378,1,4.99
14776,20070216,385,930,1,2.99
14777,20070217,385,281,1,0.99
14778,20070220,385,26,1,0.99
14779,20070216,386,373,1,3.99
14780,20070216,386,566,1,2.99
14781,20070216,386,368,1,5.99
14782,20070219,386,132,2,0.99
14783,20070221,386,349,1,2.99
14784,20070215,387,894,2,0.99
14785,20070215,387,132,1,0.99
14786,20070217,387,924,2,0.99
14787,20070217,387,489,2,0.99
14788,20070220,387,115,2,5.99
14789,20070221,387,7,2,4.99
14790,20070215,388,330,1,6.99
14791,20070217,388,54,1,0.99
14792,20070219,388,767,1,5.99
14793,20070219,388,694,1,4.99
14794,20070220,388,7,1,7.99
14795,20070216,389,422,2,4.99
14796,20070217,389,507,2,4.99
14797,20070219,389,143,2,3.99
14798,20070215,390,59,2,5.99
14799,20070216,390,302,1,2.99
14800,20070217,390,735,2,2.99
14801,20070218,390,933,1,7.99
14802,20070220,390,133,2,5.99
14803,20070215,391,602,1,0.99
14804,20070217,391,309,1,0.99
14805,20070217,391,122,1,2.99
14806,20070219,391,303,1,2.99
14807,20070220,391,577,1,2.99
14808,20070215,392,528,1,6.99
14809,20070216,392,154,2,2.99
14810,20070218,392,442,1,2.99
14811,20070220,392,753,2,4.99
14812,20070216,393,378,2,6.99
14813,20070217,393,574,2,1.99
14814,20070218,393,410,1,2.99
14815,20070218,393,331,2,4.99
14816,20070220,393,646,1,2.99
14817,20070215,394,167,1,4.99
14818,20070215,395,12,1,0.99
14819,20070216,395,130,1,0.99
14820,20070216,395,728,1,0.99
14821,20070220,395,338,2,4.99
14822,20070221,395,374,2,0.99
14823,20070221,395,159,1,6.99
14824,20070215,396,140,1,1.99
14825,20070215,396,888,1,4.99
14826,20070215,396,582,2,6.99
14827,20070216,397,272,1,5.99
14828,20070220,397,877,2,1.99
14829,20070215,398,977,2,2.99
14830,20070217,398,103,1,6.99
14831,20070220,398,392,1,9.99
14832,20070220,399,991,1,2.99
14833,20070220,399,975,2,5.99
14834,20070215,400,23,1,0.99
14835,20070217,400,586,1,3.99
14836,20070217,400,151,1,6.99
14837,20070214,402,826,2,4.99
14838,20070218,402,420,2,4.99
14839,20070220,402,758,2,2.99
14840,20070215,403,460,2,4.99
14841,20070215,403,460,1,8.99
14842,20070218,403,295,1,3.99
14843,20070220,403,86,2,4.99
14844,20070220,403,114,2,6.99
14845,20070221,403,989,1,5.99
14846,20070215,404,890,2,2.99
14847,20070216,404,75,2,4.99
14848,20070219,404,451,2,4.99
14849,20070220,404,638,1,2.99
14850,20070215,405,842,1,4.99
14851,20070217,405,629,2,0.99
14852,20070217,405,776,1,5.99
14853,20070219,405,809,2,3.99
14854,20070221,405,645,2,4.99
14855,20070221,405,415,1,5.99
14856,20070217,406,330,1,4.99
14857,20070217,406,415,2,3.99
14858,20070218,406,204,2,2.99
14859,20070218,406,164,2,0.99
14860,20070219,406,18,2,0.99
14861,20070220,406,702,2,7.99
14862,20070221,406,364,1,4.99
14863,20070216,407,322,2,2.99
14864,20070219,407,493,2,0.99
14865,20070218,408,354,2,4.99
14866,20070219,408,873,1,2.99
14867,20070219,408,169,2,2.99
14868,20070215,409,496,2,5.99
14869,20070218,409,568,2,8.99
14870,20070215,410,645,1,2.99
14871,20070217,410,772,2,2.99
14872,20070218,410,5,2,4.99
14873,20070218,410,702,1,5.99
14874,20070220,410,348,2,0.99
14875,20070221,410,154,1,4.99
14876,20070217,411,18,1,0.99
14877,20070217,411,185,1,2.99
14878,20070219,411,688,2,0.99
14879,20070221,412,724,2,2.99
14880,20070217,413,301,2,5.99
14881,20070219,413,710,2,4.99
14882,20070218,414,933,1,4.99
14883,20070219,414,969,1,9.99
14884,20070221,414,246,2,5.99
14885,20070217,415,773,2,4.99
14886,20070220,415,254,2,2.99
14887,20070214,416,356,2,2.99
14888,20070215,416,522,2,4.99
14889,20070216,416,877,1,0.99
14890,20070216,416,559,2,2.99
14891,20070216,416,383,2,0.99
14892,20070217,417,953,1,3.99
14893,20070219,418,571,2,2.99
14894,20070220,418,569,1,2.99
14895,20070220,418,380,1,2.99
14896,20070219,419,160,1,2.99
14897,20070219,420,257,2,3.99
14898,20070219,420,851,2,0.99
14899,20070219,420,651,1,0.99
14900,20070216,421,521,1,4.99
14901,20070218,421,559,1,2.99
14902,20070220,421,288,2,4.99
14903,20070216,422,376,1,0.99
14904,20070217,422,900,1,4.99
14905,20070219,422,302,2,2.99
14906,20070219,422,737,2,5.99
14907,20070215,423,790,2,3.99
14908,20070216,423,833,2,0.99
14909,20070219,423,103,2,6.99
14910,20070219,423,777,2,6.99
14911,20070220,423,897,2,8.99
14912,20070220,424,706,2,4.99
14913,20070220,424,403,1,6.99
14914,20070221,424,436,2,0.99
14915,20070221,425,412,1,6.99
14916,20070216,426,767,1,6.99
14917,20070216,426,322,1,7.99
14918,20070218,426,252,1,2.99
14919,20070219,426,18,1,0.99
14920,20070221,426,560,1,0.99
14921,20070215,427,968,1,5.99
14922,20070216,427,191,1,3.99
14923,20070216,427,101,1,5.99
14924,20070216,427,925,2,1.99
14925,20070218,427,299,1,0.99
14926,20070215,428,142,1,3.99
14927,20070215,428,122,2,2.99
14928,20070216,428,684,2,3.99
14929,20070219,428,958,1,2.99
14930,20070221,428,402,1,0.99
14931,20070216,429,623,2,5.99
14932,20070216,429,361,1,2.99
14933,20070217,429,968,1,7.99
14934,20070221,429,740,2,2.99
14935,20070215,430,492,1,0.99
14936,20070215,430,608,1,2.99
14937,20070215,430,154,2,2.99
14938,20070216,430,307,1,6.99
14939,20070220,430,656,2,0.99
14940,20070220,430,143,1,0.99
14941,20070216,431,489,1,2.99
14942,20070217,431,239,1,4.99
14943,20070218,431,679,1,3.99
14944,20070218,431,915,2,4.99
14945,20070219,431,462,1,2.99
14946,20070221,431,465,2,6.99
14947,20070221,431,68,2,8.99
14948,20070214,432,686,1,5.99
14949,20070216,432,162,2,2.99
14950,20070220,432,398,2,4.99
14951,20070215,434,418,2,0.99
14952,20070216,434,775,1,5.99
14953,20070218,434,682,1,7.99
14954,20070218,434,433,1,3.99
14955,20070218,434,290,1,3.99
14956,20070220,434,471,1,2.99
14957,20070220,434,443,1,2.99
14958,20070215,435,545,1,0.99
14959,20070220,435,395,2,0.99
14960,20070218,436,861,2,9.99
14961,20070218,437,966,2,5.99
14962,20070219,437,672,1,2.99
14963,20070221,437,794,1,2.99
14964,20070215,438,702,1,4.99
14965,20070216,438,233,1,0.99
14966,20070218,438,797,2,0.99
14967,20070219,438,979,1,4.99
14968,20070221,438,893,2,4.99
14969,20070221,438,119,2,0.99
14970,20070215,439,908,1,4.99
14971,20070216,439,574,1,0.99
14972,20070217,439,123,2,4.99
14973,20070219,439,379,2,2.99
14974,20070220,439,735,2,2.99
14975,20070221,439,521,2,6.99
14976,20070216,441,385,2,4.99
14977,20070218,441,501,1,4.99
14978,20070215,442,728,1,5.99
14979,20070215,442,440,2,0.99
14980,20070216,442,227,2,8.99
14981,20070216,442,672,2,2.99
14982,20070219,443,377,1,2.99
14983,20070215,444,816,1,0.99
14984,20070215,444,397,2,3.99
14985,20070215,444,454,1,1.99
14986,20070219,444,437,1,4.99
14987,20070221,444,112,1,7.99
14988,20070221,444,774,1,5.99
14989,20070218,446,435,1,4.99
14990,20070218,446,864,2,3.99
14991,20070218,446,911,1,6.99
14992,20070219,446,650,1,0.99
14993,20070220,446,450,1,2.99
14994,20070220,446,525,2,0.99
14995,20070215,447,504,2,0.99
14996,20070217,447,382,2,2.99
14997,20070217,447,267,1,4.99
14998,20070218,447,165,1,4.99
14999,20070215,448,361,2,5.99
15000,20070216,448,846,2,7.99
15001,20070219,448,491,1,0.99
15002,20070221,448,225,1,3.99
15003,20070221,448,944,2,5.99
15004,20070215,449,637,1,4.99
15005,20070218,449,790,2,0.99
15006,20070220,449,258,2,2.99
15007,20070216,450,39,1,4.99
15008,20070216,450,560,2,0.99
15009,20070217,450,747,1,2.99
15010,20070218,450,258,2,0.99
15011,20070218,450,263,2,4.99
15012,20070219,450,618,2,2.99
15013,20070220,450,101,1,4.99
15014,20070215,451,619,2,0.99
15015,20070216,451,249,1,0.99
15016,20070217,451,21,2,6.99
15017,20070219,451,467,2,1.99
15018,20070220,451,370,2,3.99
15019,20070220,451,140,2,0.99
15020,20070221,451,720,2,6.99
15021,20070215,452,481,1,4.99
15022,20070215,452,356,1,5.99
15023,20070216,452,111,2,3.99
15024,20070218,452,717,1,0.99
15025,20070218,452,570,2,4.99
15026,20070218,452,367,1,0.99
15027,20070219,452,797,2,0.99
15028,20070219,453,591,2,5.99
15029,20070219,453,564,2,7.99
15030,20070220,453,239,2,4.99
15031,20070216,454,421,2,4.99
15032,20070216,454,501,2,7.99
15033,20070216,454,27,1,1.99
15034,20070217,454,123,2,4.99
15035,20070217,454,446,2,5.99
15036,20070217,454,765,1,5.99
15037,20070218,454,391,1,2.99
15038,20070219,454,408,2,9.99
15039,20070221,454,55,1,2.99
15040,20070221,454,284,2,4.99
15041,20070215,455,688,2,1.99
15042,20070216,455,907,1,1.99
15043,20070217,455,234,1,2.99
15044,20070218,455,477,2,0.99
15045,20070215,456,181,2,2.99
15046,20070216,456,924,2,0.99
15047,20070217,456,321,1,5.99
15048,20070217,456,73,1,6.99
15049,20070218,456,411,1,4.99
15050,20070218,456,899,1,0.99
15051,20070219,456,83,1,2.99
15052,20070215,457,721,1,4.99
15053,20070216,457,647,2,0.99
15054,20070217,457,877,1,0.99
15055,20070217,457,640,2,7.99
15056,20070219,457,771,1,4.99
15057,20070219,457,753,1,3.99
15058,20070219,457,850,1,0.99
15059,20070220,457,474,2,2.99
15060,20070220,457,697,2,2.99
15061,20070219,458,393,1,5.99
15062,20070221,458,942,1,0.99
15063,20070217,459,85,2,0.99
15064,20070217,459,540,1,2.99
15065,20070217,459,527,1,4.99
15066,20070220,459,417,1,0.99
15067,20070220,459,587,1,4.99
15068,20070220,459,673,2,0.99
15069,20070221,459,715,2,9.99
15070,20070215,460,79,2,0.99
15071,20070220,461,285,2,5.99
15072,20070221,461,544,2,4.99
15073,20070216,462,961,1,5.99
15074,20070217,462,768,1,9.99
15075,20070221,462,365,2,4.99
15076,20070215,463,304,1,2.99
15077,20070218,463,86,1,4.99
15078,20070220,463,230,1,2.99
15079,20070221,463,56,1,4.99
15080,20070215,464,15,2,4.99
15081,20070220,464,78,1,2.99
15082,20070215,465,873,2,2.99
15083,20070217,465,843,2,4.99
15084,20070217,465,680,2,8.99
15085,20070218,465,97,2,0.99
15086,20070216,466,529,1,7.99
15087,20070218,466,284,1,8.99
15088,20070220,466,819,1,3.99
15089,20070221,466,961,2,4.99
15090,20070221,466,443,2,2.99
15091,20070216,467,878,2,8.99
15092,20070217,467,28,1,4.99
15093,20070219,467,48,2,9.99
15094,20070221,467,161,1,6.99
15095,20070215,468,463,1,2.99
15096,20070216,468,898,1,8.99
15097,20070216,468,705,1,2.99
15098,20070217,468,554,1,2.99
15099,20070218,468,465,1,4.99
15100,20070219,468,891,1,0.99
15101,20070215,469,314,1,0.99
15102,20070216,469,971,1,9.99
15103,20070215,470,314,2,0.99
15104,20070215,470,697,2,0.99
15105,20070216,470,844,2,7.99
15106,20070215,471,219,1,4.99
15107,20070215,471,333,2,2.99
15108,20070217,471,522,2,2.99
15109,20070218,471,263,1,4.99
15110,20070220,471,694,2,4.99
15111,20070215,472,215,1,4.99
15112,20070216,472,307,2,6.99
15113,20070219,472,284,2,5.99
15114,20070220,472,504,1,0.99
15115,20070220,472,938,2,4.99
15116,20070221,472,850,2,0.99
15117,20070216,473,531,2,0.99
15118,20070217,473,937,2,2.99
15119,20070219,473,205,1,4.99
15120,20070219,473,113,2,4.99
15121,20070216,474,582,2,8.99
15122,20070220,474,340,1,7.99
15123,20070216,476,468,1,3.99
15124,20070217,476,273,1,0.99
15125,20070218,476,941,2,4.99
15126,20070221,476,129,2,2.99
15127,20070216,477,117,1,6.99
15128,20070217,477,304,1,2.99
15129,20070218,477,46,2,10.99
15130,20070219,477,858,2,4.99
15131,20070216,478,488,2,0.99
15132,20070218,478,376,2,4.99
15133,20070218,478,501,1,6.99
15134,20070219,478,127,1,8.99
15135,20070219,478,228,1,4.99
15136,20070221,478,603,1,4.99
15137,20070217,479,638,2,2.99
15138,20070217,479,735,1,3.99
15139,20070217,479,22,1,2.99
15140,20070217,479,628,2,3.99
15141,20070218,479,800,2,2.99
15142,20070219,479,374,2,6.99
15143,20070215,480,595,2,0.99
15144,20070216,480,118,2,0.99
15145,20070214,481,952,1,2.99
15146,20070218,481,995,1,4.99
15147,20070221,481,211,1,4.99
15148,20070221,481,963,2,0.99
15149,20070220,482,958,2,2.99
15150,20070221,482,562,1,0.99
15151,20070219,483,765,1,4.99
15152,20070219,483,19,1,0.99
15153,20070221,483,706,1,8.99
15154,20070215,484,514,2,3.99
15155,20070216,484,298,2,3.99
15156,20070217,484,827,1,4.99
15157,20070217,484,527,2,5.99
15158,20070216,485,175,2,2.99
15159,20070216,485,771,2,8.99
15160,20070217,486,20,1,4.99
15161,20070217,486,503,1,5.99
15162,20070219,486,110,1,2.99
15163,20070219,486,707,2,2.99
15164,20070220,487,530,1,3.99
15165,20070216,488,807,2,3.99
15166,20070216,488,967,2,5.99
15167,20070216,489,5,2,3.99
15168,20070218,489,406,2,0.99
15169,20070218,489,583,1,7.99
15170,20070219,489,887,1,4.99
15171,20070216,490,573,1,3.99
15172,20070215,491,252,1,2.99
15173,20070215,491,166,1,4.99
15174,20070217,491,805,2,4.99
15175,20070218,491,893,1,4.99
15176,20070218,491,625,1,4.99
15177,20070220,491,263,2,4.99
15178,20070221,491,187,2,3.99
15179,20070216,492,970,2,1.99
15180,20070216,492,973,2,4.99
15181,20070217,492,307,2,4.99
15182,20070221,492,98,1,9.99
15183,20070217,493,498,1,3.99
15184,20070218,493,683,1,4.99
15185,20070219,493,840,1,0.99
15186,20070219,493,235,1,2.99
15187,20070216,494,514,1,2.99
15188,20070217,495,15,1,2.99
15189,20070218,495,336,1,4.99
15190,20070219,495,843,2,7.99
15191,20070220,495,388,2,3.99
15192,20070219,496,49,1,2.99
15193,20070217,497,778,2,8.99
15194,20070218,497,272,1,5.99
15195,20070218,497,292,1,2.99
15196,20070219,497,518,2,4.99
15197,20070215,498,711,2,6.99
15198,20070216,498,395,2,2.99
15199,20070218,498,438,2,2.99
15200,20070218,498,792,2,4.99
15201,20070220,498,747,2,0.99
15202,20070221,498,613,1,0.99
15203,20070215,499,914,2,2.99
15204,20070215,499,422,2,4.99
15205,20070216,499,873,1,4.99
15206,20070221,499,315,2,1.99
15207,20070215,500,777,1,5.99
15208,20070215,500,869,1,5.99
15209,20070217,500,56,1,3.99
15210,20070218,500,728,2,6.99
15211,20070220,500,886,1,2.99
15212,20070221,501,876,1,5.99
15213,20070221,501,666,1,7.99
15214,20070216,502,857,1,7.99
15215,20070218,502,54,2,0.99
15216,20070220,502,796,1,0.99
15217,20070217,503,305,2,4.99
15218,20070218,503,621,1,2.99
15219,20070221,503,352,2,0.99
15220,20070219,504,786,2,1.99
15221,20070220,504,390,1,6.99
15222,20070216,505,624,2,5.99
15223,20070217,505,515,2,4.99
15224,20070219,505,902,1,7.99
15225,20070220,505,172,1,5.99
15226,20070215,506,433,2,6.99
15227,20070215,506,150,2,2.99
15228,20070216,506,840,1,0.99
15229,20070219,506,210,2,9.99
15230,20070219,506,631,1,6.99
15231,20070215,507,81,1,4.99
15232,20070217,507,278,1,4.99
15233,20070218,507,446,2,4.99
15234,20070216,508,525,1,4.99
15235,20070215,509,923,2,2.99
15236,20070220,509,621,2,4.99
15237,20070215,510,608,2,5.99
15238,20070216,510,981,1,0.99
15239,20070217,510,870,2,0.99
15240,20070219,510,972,2,8.99
15241,20070219,510,458,2,0.99
15242,20070219,510,762,2,0.99
15243,20070221,510,126,2,8.99
15244,20070221,510,326,2,5.99
15245,20070215,511,649,2,2.99
15246,20070215,511,252,2,2.99
15247,20070220,511,763,2,10.99
15248,20070221,511,567,1,4.99
15249,20070214,512,596,1,6.99
15250,20070217,512,203,2,4.99
15251,20070218,512,625,2,2.99
15252,20070216,513,724,2,2.99
15253,20070218,513,44,2,7.99
15254,20070219,513,688,2,1.99
15255,20070216,514,775,1,4.99
15256,20070217,514,525,2,3.99
15257,20070218,514,618,2,0.99
15258,20070219,514,524,2,0.99
15259,20070220,514,783,1,2.99
15260,20070221,514,617,1,0.99
15261,20070215,515,229,2,4.99
15262,20070215,515,304,2,5.99
15263,20070217,515,347,1,4.99
15264,20070218,515,330,2,4.99
15265,20070218,515,741,1,0.99
15266,20070220,515,862,2,3.99
15267,20070214,516,961,1,4.99
15268,20070215,516,732,1,1.99
15269,20070216,516,65,2,10.99
15270,20070217,516,314,1,0.99
15271,20070220,516,427,1,0.99
15272,20070221,516,26,2,2.99
15273,20070216,517,499,1,4.99
15274,20070216,517,239,1,8.99
15275,20070216,517,166,1,4.99
15276,20070219,517,557,1,2.99
15277,20070220,517,790,2,0.99
15278,20070216,518,179,1,5.99
15279,20070221,518,753,2,0.99
15280,20070217,519,236,2,2.99
15281,20070218,519,365,1,8.99
15282,20070220,519,317,2,5.99
15283,20070215,520,492,1,0.99
15284,20070217,520,723,1,6.99
15285,20070219,520,271,1,4.99
15286,20070216,521,345,1,0.99
15287,20070217,521,931,2,0.99
15288,20070215,522,693,1,3.99
15289,20070220,522,253,1,8.99
15290,20070220,522,541,2,2.99
15291,20070220,522,949,2,0.99
15292,20070216,523,738,2,6.99
15293,20070218,523,512,1,8.99
15294,20070219,523,871,1,7.99
15295,20070219,523,600,1,0.99
15296,20070215,524,461,2,1.99
15297,20070216,524,971,1,4.99
15298,20070221,524,660,2,2.99
15299,20070216,525,281,2,2.99
15300,20070215,526,313,2,4.99
15301,20070216,526,832,1,0.99
15302,20070217,526,583,1,7.99
15303,20070217,526,605,2,2.99
15304,20070217,526,698,2,2.99
15305,20070218,526,658,2,4.99
15306,20070219,526,709,2,2.99
15307,20070220,526,966,2,6.99
15308,20070221,526,70,1,6.99
15309,20070215,527,962,1,2.99
15310,20070218,527,696,2,0.99
15311,20070218,527,140,2,0.99
15312,20070219,527,977,2,2.99
15313,20070217,528,361,1,2.99
15314,20070217,528,502,2,4.99
15315,20070215,529,155,1,1.99
15316,20070216,529,849,1,0.99
15317,20070221,529,241,1,0.99
15318,20070215,530,79,2,1.99
15319,20070215,530,810,1,0.99
15320,20070217,530,55,1,2.99
15321,20070220,531,483,1,2.99
15322,20070216,532,31,1,4.99
15323,20070219,532,559,2,3.99
15324,20070215,533,532,2,5.99
15325,20070216,533,748,2,0.99
15326,20070216,533,746,2,0.99
15327,20070217,533,704,1,2.99
15328,20070219,533,667,2,6.99
15329,20070220,533,589,2,0.99
15330,20070216,534,776,2,4.99
15331,20070216,534,201,1,2.99
15332,20070218,534,732,1,0.99
15333,20070220,534,839,2,1.99
15334,20070220,534,158,1,4.99
15335,20070216,535,300,2,4.99
15336,20070221,535,545,2,4.99
15337,20070216,536,35,1,4.99
15338,20070217,536,958,1,2.99
15339,20070218,536,592,1,2.99
15340,20070215,537,700,2,2.99
15341,20070217,537,760,2,2.99
15342,20070219,537,893,1,8.99
15343,20070220,537,304,2,8.99
15344,20070215,538,300,1,5.99
15345,20070217,538,898,2,4.99
15346,20070219,538,789,1,4.99
15347,20070220,538,329,1,2.99
15348,20070215,539,42,2,3.99
15349,20070215,539,89,2,0.99
15350,20070215,539,287,2,4.99
15351,20070215,540,900,2,2.99
15352,20070215,540,417,2,4.99
15353,20070219,540,158,2,2.99
15354,20070220,540,397,2,3.99
15355,20070221,540,649,2,3.99
15356,20070217,541,636,1,2.99
15357,20070219,541,583,2,6.99
15358,20070219,542,842,1,4.99
15359,20070220,542,879,1,10.99
15360,20070216,543,767,1,4.99
15361,20070218,543,104,2,2.99
15362,20070220,543,845,1,4.99
15363,20070220,543,43,1,2.99
15364,20070221,543,159,2,5.99
15365,20070215,544,848,1,1.99
15366,20070215,544,919,1,10.99
15367,20070218,544,610,1,0.99
15368,20070218,544,200,1,2.99
15369,20070217,545,548,1,2.99
15370,20070214,546,651,2,1.99
15371,20070215,546,741,2,0.99
15372,20070216,546,837,2,3.99
15373,20070218,546,775,2,5.99
15374,20070217,547,670,2,8.99
15375,20070215,548,11,2,1.99
15376,20070218,548,998,2,2.99
15377,20070220,548,951,2,0.99
15378,20070217,549,428,1,2.99
15379,20070215,550,916,1,6.99
15380,20070217,550,976,1,3.99
15381,20070217,550,767,2,4.99
15382,20070220,550,702,1,2.99
15383,20070221,550,327,1,9.99
15384,20070221,550,243,1,10.99
15385,20070217,551,602,2,4.99
15386,20070219,551,376,2,3.99
15387,20070218,552,130,2,0.99
15388,20070221,552,131,1,4.99
15389,20070216,553,726,2,3.99
15390,20070218,553,857,2,8.99
15391,20070220,553,409,1,6.99
15392,20070217,554,320,2,4.99
15393,20070218,554,426,2,6.99
15394,20070221,554,621,2,2.99
15395,20070221,554,226,2,6.99
15396,20070221,555,430,2,1.99
15397,20070217,556,968,1,6.99
15398,20070219,556,442,1,5.99
15399,20070220,556,105,2,0.99
15400,20070220,556,556,1,4.99
15401,20070221,556,382,1,6.99
15402,20070216,557,875,2,0.99
15403,20070220,557,694,1,6.99
15404,20070220,557,524,1,3.99
15405,20070217,558,708,2,4.99
15406,20070218,558,727,1,1.99
15407,20070219,558,320,2,4.99
15408,20070220,558,769,2,4.99
15409,20070221,558,764,2,10.99
15410,20070219,559,644,1,4.99
15411,20070219,559,82,1,0.99
15412,20070220,559,103,2,4.99
15413,20070221,559,345,2,1.99
15414,20070215,560,84,1,4.99
15415,20070216,560,910,2,1.99
